01/08/26;15:11:33;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 362259;Numero PROFOSS: 1593371;Quant;Moi;13.16;%;0.00255;0.034;0.075;CP;46.13;%;0.00115;0.02;0.0576;Fat;2.07;%;0.00114;0.0243;0.047;Ash;6.17;%;0.00228;0.03;0.0761;Fiber;4.62;%;0.00276;0.038;0.0727;
01/08/26;15:13:06;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 362260;Numero PROFOSS: 1595471;Quant;Moi;13.26;%;0.00338;0.034;0.0994;CP;44.51;%;0.00255;0.02;0.128;Fat;2.06;%;0.00205;0.0243;0.0844;Ash;5.83;%;0.00333;0.03;0.111;Fiber;6.29;%;0.00473;0.038;0.125;
01/09/26;14:50:30;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363001;Numero PROFOSS: 1595992;Quant;Moi;13.60;%;0.00347;0.034;0.102;CP;45.15;%;0.00206;0.02;0.103;Fat;1.92;%;0.00181;0.0243;0.0744;Ash;6.09;%;0.00352;0.03;0.117;Fiber;5.56;%;0.00407;0.038;0.107;
01/09/26;14:54:46;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363169;Numero PROFOSS: 1596710;Quant;Moi;12.76;%;0.00682;0.034;0.201;CP;41.50;%;0.00611;0.02;0.306;Fat;1.56;%;0.00558;0.0243;0.23;Ash;5.77;%;0.00653;0.03;0.218;Fiber;9.08;%;0.0107;0.038;0.281;
01/09/26;16:56:09;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 361506;Numero PROFOSS: 510249;Quant;Moi;12.65;%;0.00297;0.034;0.0874;CP;45.41;%;0.00141;0.02;0.0706;Fat;1.84;%;0.00129;0.0243;0.0531;Ash;6.31;%;0.00277;0.03;0.0922;Fiber;5.29;%;0.00265;0.038;0.0698;
01/09/26;16:58:47;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 361534;Numero PROFOSS: 512467;Quant;Moi;12.55;%;0.00333;0.034;0.0979;CP;44.26;%;0.00218;0.02;0.109;Fat;1.74;%;0.00175;0.0243;0.0722;Ash;6.09;%;0.00294;0.03;0.0981;Fiber;6.46;%;0.0041;0.038;0.108;
01/09/26;17:00:00;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 362098;Numero PROFOSS: 431775;Quant;Moi;13.16;%;0.00421;0.034;0.124;CP;43.86;%;0.00318;0.02;0.159;Fat;1.75;%;0.00265;0.0243;0.109;Ash;5.90;%;0.00396;0.03;0.132;Fiber;6.70;%;0.00547;0.038;0.144;
01/09/26;17:05:29;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363184;Numero PROFOSS: 1597535;Quant;Moi;13.08;%;0.0037;0.034;0.109;CP;43.66;%;0.0026;0.02;0.13;Fat;2.41;%;0.00226;0.0243;0.0931;Ash;5.97;%;0.00334;0.03;0.111;Fiber;6.44;%;0.00448;0.038;0.118;
01/09/26;17:06:31;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363186;Numero PROFOSS: 1598018;Quant;Moi;12.64;%;0.00485;0.034;0.143;CP;42.34;%;0.00404;0.02;0.202;Fat;2.53;%;0.00371;0.0243;0.153;Ash;5.93;%;0.00466;0.03;0.155;Fiber;7.84;%;0.00653;0.038;0.172;
01/09/26;17:09:05;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363503;Numero PROFOSS: 1598716;Quant;Moi;10.94;%;0.00414;0.034;0.122;CP;42.73;%;0.00261;0.02;0.131;Fat;3.88;%;0.00207;0.0243;0.0855;Ash;5.86;%;0.00299;0.03;0.0997;Fiber;7.59;%;0.00389;0.038;0.102;
01/10/26;10:47:06;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363900;Numero PROFOSS: 1599595;Quant;Moi;13.12;%;0.00342;0.034;0.101;CP;43.14;%;0.00231;0.02;0.115;Fat;2.07;%;0.00262;0.0243;0.108;Ash;6.11;%;0.00319;0.03;0.106;Fiber;6.62;%;0.00454;0.038;0.12;
01/10/26;10:48:07;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363901;Numero PROFOSS: 1600115;Quant;Moi;17.17;%;0.168;0.034;4.94;CP;35.57;%;0.0398;0.02;1.99;Fat;1.44;%;0.107;0.0243;4.41;Ash;-1.93;%;0.201;0.03;6.71;Fiber;6.26;%;0.0472;0.038;1.24;
01/10/26;10:49:02;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 363901;Numero PROFOSS: 1600115;Quant;Moi;12.98;%;0.00488;0.034;0.143;CP;41.40;%;0.00424;0.02;0.212;Fat;2.26;%;0.00427;0.0243;0.176;Ash;5.81;%;0.00491;0.03;0.164;Fiber;8.45;%;0.00822;0.038;0.216;
01/15/26;09:16:32;SAMPLE;Farelo de soja - MAXINIR;Numero protocolo: 366035;Numero PROFOSS: 1604649;Quant;Moi;12.40;%;0.00204;0.034;0.0599;CP;46.38;%;0.000698;0.02;0.0349;Fat;2.38;%;0.00114;0.0243;0.047;Ash;6.20;%;0.00164;0.03;0.0547;Fiber;4.28;%;0.002;0.038;0.0526;
