2025-05-05;14:10:42-0300;Farelo de soja - MAXINIR;Numero protocolo: 121221;Numero PROFOSS: 259144;Quant;Moi;12.73;%;0.0024;0.034;0.0706;CP;45.22;%;0.000944;0.02;0.0472;Fat;2.17;%;0.00123;0.0243;0.0508;Ash;6.18;%;0.00181;0.03;0.0605;Fiber;5.73;%;0.00228;0.038;0.0599;
2025-05-07;16:24:13-0300;Farelo de soja - MAXINIR;Numero protocolo: 125610;Numero PROFOSS: 1175413;Quant;Moi;12.63;%;0.00254;0.034;0.0748;CP;44.45;%;0.00121;0.02;0.0605;Fat;2.29;%;0.00134;0.0243;0.0553;Ash;6.19;%;0.00183;0.03;0.061;Fiber;6.34;%;0.00236;0.038;0.0621;
2025-05-07;16:25:21-0300;Farelo de soja - MAXINIR;Numero protocolo: 125613;Numero PROFOSS: 1176557;Quant;Moi;12.59;%;0.0022;0.034;0.0646;CP;46.03;%;0.000755;0.02;0.0378;Fat;2.08;%;0.000933;0.0243;0.0385;Ash;6.24;%;0.00172;0.03;0.0572;Fiber;5.26;%;0.00192;0.038;0.0505;
2025-05-07;16:27:45-0300;Farelo de soja - MAXINIR;Numero protocolo: 125615;Numero PROFOSS: 1177559;Quant;Moi;12.16;%;0.00242;0.034;0.0712;CP;46.14;%;0.000678;0.02;0.0339;Fat;2.09;%;0.00079;0.0243;0.0326;Ash;6.34;%;0.00182;0.03;0.0607;Fiber;5.05;%;0.0017;0.038;0.0448;
2025-05-07;16:28:56-0300;Farelo de soja - MAXINIR;Numero protocolo: 125618;Numero PROFOSS: 1178126;Quant;Moi;11.74;%;0.00242;0.034;0.0712;CP;46.73;%;0.000466;0.02;0.0233;Fat;2.11;%;0.00112;0.0243;0.0461;Ash;6.39;%;0.00151;0.03;0.0503;Fiber;4.65;%;0.00132;0.038;0.0348;
2025-05-07;16:29:59-0300;Farelo de soja - MAXINIR;Numero protocolo: 125621;Numero PROFOSS: 1179136;Quant;Moi;12.26;%;0.00217;0.034;0.0638;CP;46.36;%;0.000514;0.02;0.0257;Fat;2.09;%;0.00082;0.0243;0.0338;Ash;6.35;%;0.00144;0.03;0.0482;Fiber;4.73;%;0.0013;0.038;0.0341;
2025-05-07;16:31:49-0300;Farelo de soja - MAXINIR;Numero protocolo: 118884;Numero PROFOSS: 226444;Quant;Moi;12.54;%;0.00265;0.034;0.078;CP;45.04;%;0.00119;0.02;0.0593;Fat;1.63;%;0.00127;0.0243;0.0523;Ash;6.33;%;0.00209;0.03;0.0697;Fiber;6.13;%;0.00224;0.038;0.059;
2025-05-07;16:32:59-0300;Farelo de soja - MAXINIR;Numero protocolo: 123251;Numero PROFOSS: 232449;Quant;Moi;12.65;%;0.00229;0.034;0.0674;CP;45.80;%;0.000828;0.02;0.0414;Fat;1.63;%;0.00094;0.0243;0.0388;Ash;6.23;%;0.00163;0.03;0.0544;Fiber;5.38;%;0.00188;0.038;0.0493;
2025-05-07;16:34:19-0300;Farelo de soja - MAXINIR;Numero protocolo: 124098;Numero PROFOSS: 261269;Quant;Moi;12.62;%;0.00234;0.034;0.069;CP;45.85;%;0.000858;0.02;0.0429;Fat;2.02;%;0.00109;0.0243;0.0448;Ash;6.23;%;0.0018;0.03;0.06;Fiber;5.34;%;0.00192;0.038;0.0504;
2025-05-08;15:45:36-0300;Farelo de soja - MAXINIR;Numero protocolo: 125625;Numero PROFOSS: 1180180;Quant;Moi;12.07;%;0.0023;0.034;0.0676;CP;46.13;%;0.000618;0.02;0.0309;Fat;2.61;%;0.000766;0.0243;0.0316;Ash;6.27;%;0.0014;0.03;0.0466;Fiber;5.17;%;0.00151;0.038;0.0398;
